HS Code,Description,Status
2926.90.30,Other aromatic nitrile-function pesticides,New (added in July)
2928.00.10,Methyl ethyl ketoxime,New (added in July)
2928.00.15,Phenylhydrazine,New (added in July)
2929.90.05,"2,2-Bis(4-cyanatophenyl)-1,1,1,3,3,3,- hexafluoropropane; 2,2-bis(4- cyanatophenyl)propane; 1,1-ethylidenebis(phenyl-4- cyanate); and 2 others",New (added in July)
2929.90.15,"Other aromatic compounds with other nitrogen function, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2930.10.01,"2-(N,N-Dimethylamino) ethanethiol",New (added in July)
2930.20.10,Aromatic pesticides of thiocarbamates and dithiocarbamates,New (added in July)
2930.40.00,Methionine,New (added in July)
2930.60.00,"2-(N,N-Diethylamino)ethanethiol",New (added in July)
2930.70.00,Bis(2-hydroxyethyl)sulfide (thiodiglycol (INN)),New (added in July)
2931.41.00,Dimethyl methylphosphonate,New (added in July)
2931.42.00,Dimethyl propylphosphonate,New (added in July)
2931.43.00,Diethyl ethylphosphonate,New (added in July)
2931.44.00,Methylphosphonic acid,New (added in July)
2931.45.00,Salt of methylphosphonic acid and (aminoiminomethyl)urea (1:1),New (added in July)
2931.46.00,"2,4,6-Tripropyl-1,3,5,2,4,6-trioxatriphosphinane 2,4,6-trioxide",New (added in July)
2931.47.00,"(5-Ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan- 5-yl) methyl methyl methylphosphonate",New (added in July)
2931.48.00,"3,9-Dimethyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro [5.5] undecane 3,9-dioxide",New (added in July)
2931.51.00,Methylphosphonic dichloride,New (added in July)
2931.52.00,Propylphosphonic dichloride,New (added in July)
2931.54.00,Trichlorfon (ISO),New (added in July)
2931.59.00,Other halogenated organo-phosphorous derivatives,New (added in July)
2931.90.30,"Aromatic organo-inorganic compounds, nesoi, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
